,G,Date,Age,Tm,Location,Opp,Margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,62,2017-03-16,32,CLE,H,UTA,W (+8),1,38:15,13,20,0.65,2,5,.400,5,10,.500,0,10,10,6,2,1,6,0,33,26.1,14
62,63,2017-03-19,32,CLE,@,LAL,W (+5),1,37:51,13,22,0.591,3,8,.375,5,8,.625,0,6,6,7,1,0,3,2,34,26.5,12
63,64,2017-03-22,32,CLE,@,DEN,L (-13),1,34:10,8,12,0.667,0,2,.000,2,4,.500,2,4,6,5,0,0,4,1,18,13.7,-30
64,65,2017-03-24,32,CLE,@,CHO,W (+7),1,39:54,9,14,0.643,0,1,.000,14,16,.875,0,9,9,11,1,2,4,2,32,33.0,1
65,66,2017-03-25,32,CLE,H,WAS,L (-12),1,40:35,10,21,0.476,0,4,.000,4,6,.667,3,8,11,8,0,1,3,2,24,19.5,-11
66,67,2017-03-27,32,CLE,@,SAS,L (-29),1,29:32,7,17,0.412,0,3,.000,3,6,.500,3,5,8,8,0,0,2,3,17,12.7,-13
67,68,2017-03-30,32,CLE,@,CHI,L (-6),1,39:07,11,20,0.55,1,7,.143,3,7,.429,1,9,10,8,1,1,4,0,26,21.5,-3
68,69,2017-03-31,32,CLE,H,PHI,W (+17),1,29:56,14,22,0.636,3,7,.429,3,6,.500,2,7,9,6,0,0,2,2,34,27.9,31
69,70,2017-04-02,32,CLE,H,IND,W (+5),1,51:39,16,29,0.552,3,10,.300,6,12,.500,4,10,14,11,2,1,1,4,41,38.3,-1
70,71,2017-04-04,32,CLE,H,ORL,W (+20),1,37:06,7,14,0.5,0,3,.000,4,6,.667,1,10,11,11,2,1,6,2,18,17.5,17
71,72,2017-04-05,32,CLE,@,BOS,W (+23),1,38:33,14,22,0.636,1,4,.250,7,7,1.000,2,8,10,6,1,2,3,3,36,32.4,32
