,G,Date,Age,Tm,Location,Opp,Margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
13,14,2005-11-30,20,CLE,H,LAC,W (+7),1,49:56,7,20,0.35,0,3,.000,14,17,.824,0,7,7,9,1,1,6,1,28,19.3,6
14,15,2005-12-02,20,CLE,@,SEA,L (-7),1,45:07,14,27,0.519,0,5,.000,6,8,.750,0,3,3,8,1,3,1,1,34,28.1,-2
15,16,2005-12-03,20,CLE,@,LAC,L (-12),1,44:41,8,25,0.32,3,5,.600,11,14,.786,0,5,5,6,1,1,1,3,30,19.7,-11
16,17,2005-12-06,20,CLE,@,SAC,W (+5),1,44:19,10,23,0.435,1,5,.200,9,12,.750,2,4,6,6,2,3,5,2,30,21.8,3
17,18,2005-12-09,20,CLE,H,NJN,L (-9),1,44:49,11,26,0.423,0,4,.000,10,15,.667,2,4,6,3,0,1,7,3,32,13.4,-4
18,19,2005-12-10,20,CLE,@,MIL,L (-5),1,42:48,19,29,0.655,5,9,.556,9,10,.900,0,7,7,7,2,0,3,5,52,42.9,-3
19,20,2005-12-13,20,CLE,H,ATL,L (-6),1,45:08,13,23,0.565,3,6,.500,10,16,.625,0,10,10,6,2,0,6,5,39,26.9,-4
20,21,2005-12-15,20,CLE,H,DEN,W (+9),1,45:06,11,18,0.611,1,4,.250,3,6,.500,0,4,4,9,1,0,3,3,26,20.9,16
21,22,2005-12-17,20,CLE,H,MIA,W (+8),1,46:23,12,19,0.632,2,4,.500,15,16,.938,0,5,5,10,1,0,4,3,41,36.4,9
22,23,2005-12-20,20,CLE,H,UTA,W (+25),1,28:55,8,12,0.667,1,1,1.000,8,9,.889,2,4,6,4,3,2,5,1,25,23.8,20
23,24,2005-12-22,20,CLE,@,CHI,W (+8),1,43:51,12,25,0.48,4,6,.667,9,13,.692,0,5,5,6,4,0,2,2,37,29.6,15
24,25,2005-12-23,20,CLE,H,IND,W (+5),1,43:51,4,16,0.25,0,1,.000,6,11,.545,1,7,8,9,1,0,3,1,14,9.1,1
25,26,2005-12-26,20,CLE,H,CHI,W (+11),1,44:58,12,25,0.48,0,5,.000,8,12,.667,1,7,8,6,2,2,2,0,32,26.1,14
26,27,2005-12-27,20,CLE,@,NJN,L (-5),1,40:18,12,21,0.571,1,5,.200,6,9,.667,1,9,10,8,2,0,4,3,31,25.7,-2
27,28,2005-12-31,21,CLE,H,DET,W (+13),1,44:33,11,22,0.5,2,5,.400,6,7,.857,1,6,7,7,4,1,5,2,30,24.9,5
28,29,2006-01-04,21,CLE,@,MIL,W (+7),1,45:42,12,29,0.414,2,8,.250,6,7,.857,2,9,11,11,5,1,4,1,32,29.2,8
29,30,2006-01-05,21,CLE,H,HOU,L (-9),1,44:15,13,19,0.684,3,7,.429,3,6,.500,1,8,9,5,1,0,3,4,32,25.7,-10
30,31,2006-01-07,21,CLE,H,MIL,W (+8),1,45:12,14,22,0.636,3,7,.429,4,9,.444,2,5,7,6,0,1,0,1,35,30.6,4
31,32,2006-01-10,21,CLE,H,NYK,L (-8),1,46:00,14,31,0.452,0,7,.000,8,11,.727,0,7,7,7,0,1,1,0,36,25.4,-2
32,33,2006-01-12,21,CLE,@,LAL,L (-1),1,40:06,11,22,0.5,2,3,.667,4,9,.444,0,2,2,9,0,0,5,2,28,16.1,5
33,34,2006-01-14,21,CLE,@,PHO,L (-9),1,43:45,18,28,0.643,5,8,.625,5,5,1.000,0,7,7,8,1,0,1,1,46,40.9,-5
34,35,2006-01-15,21,CLE,@,POR,L (-2),1,41:19,10,26,0.385,1,5,.200,8,11,.727,2,11,13,7,1,3,2,3,29,23.1,12
35,36,2006-01-18,21,CLE,@,DEN,L (-1),1,41:35,7,20,0.35,2,6,.333,8,15,.533,2,9,11,9,0,0,2,5,24,16.4,-3
36,37,2006-01-20,21,CLE,@,GSW,L (-20),1,35:12,5,22,0.227,0,3,.000,4,6,.667,1,8,9,6,0,0,6,3,14,-0.1,-9
37,38,2006-01-21,21,CLE,@,UTA,W (+18),1,42:47,19,35,0.543,4,8,.500,9,11,.818,0,5,5,8,2,0,3,4,51,37.8,20
38,39,2006-01-24,21,CLE,H,IND,W (+30),1,35:22,7,21,0.333,2,5,.400,7,10,.700,0,7,7,8,2,2,1,0,23,20.0,33
39,40,2006-01-25,21,CLE,@,ATL,W (+9),1,45:54,11,22,0.5,1,5,.200,15,20,.750,1,8,9,6,3,1,5,2,38,30.2,10
40,41,2006-01-27,21,CLE,@,IND,W (+4),1,45:06,12,23,0.522,1,2,.500,5,8,.625,1,6,7,9,3,1,6,1,30,23.6,4
41,42,2006-01-29,21,CLE,H,PHO,W (+7),1,42:45,17,33,0.515,3,7,.429,7,12,.583,1,10,11,7,1,1,6,1,44,29.6,5
42,43,2006-01-30,21,CLE,@,CHA,W (+12),1,31:34,11,19,0.579,2,6,.333,6,11,.545,1,5,6,6,5,1,4,2,30,26.4,30
43,44,2006-02-01,21,CLE,H,NJN,W (+6),1,44:26,8,21,0.381,0,2,.000,10,12,.833,0,11,11,10,1,1,4,2,26,20.9,5
44,45,2006-02-02,21,CLE,@,MIA,L (-28),1,39:18,12,29,0.414,2,5,.400,3,3,1.000,1,4,5,7,1,0,1,0,29,20.3,-15
45,46,2006-02-04,21,CLE,H,PHI,L (-5),1,47:11,10,17,0.588,2,7,.286,9,10,.900,2,2,4,6,2,1,4,0,31,27.6,-7
46,47,2006-02-06,21,CLE,H,MIL,W (+3),1,45:21,9,20,0.45,2,7,.286,2,4,.500,0,9,9,12,0,2,4,4,22,17.7,-3
47,48,2006-02-08,21,CLE,@,MIN,W (+6),1,45:38,11,34,0.324,1,5,.200,12,17,.706,1,10,11,8,1,0,0,3,35,22.7,10
48,49,2006-02-10,21,CLE,@,WAS,L (-12),1,45:23,6,23,0.261,0,3,.000,6,8,.750,1,8,9,8,1,0,2,2,18,10.4,-13
49,50,2006-02-11,21,CLE,H,GSW,L (-8),1,43:48,10,17,0.588,5,6,.833,8,8,1.000,1,4,5,6,1,2,2,5,33,29.6,-15
50,51,2006-02-13,21,CLE,H,SAS,W (+14),1,40:43,19,33,0.576,1,3,.333,5,8,.625,2,1,3,5,4,0,2,0,44,34.5,12
51,52,2006-02-15,21,CLE,@,BOS,W (+4),1,53:55,16,32,0.5,0,5,.000,11,15,.733,1,11,12,11,2,4,2,5,43,37.9,5
52,53,2006-02-21,21,CLE,H,ORL,W (+13),1,42:51,10,24,0.417,1,5,.200,5,7,.714,0,2,2,9,1,2,2,0,26,19.7,21
53,54,2006-02-22,21,CLE,@,PHI,L (-9),1,43:07,13,24,0.542,1,4,.250,6,10,.600,3,3,6,5,2,1,6,3,33,21.8,-7
54,55,2006-02-24,21,CLE,H,WAS,L (-8),1,47:46,7,21,0.333,3,8,.375,8,19,.421,0,7,7,9,1,0,4,2,25,13.3,-8
55,56,2006-02-26,21,CLE,@,DET,L (-12),1,37:46,9,20,0.45,2,3,.667,2,3,.667,1,8,9,7,0,0,3,3,22,15.0,-17
56,57,2006-02-27,21,CLE,H,DET,L (-12),1,46:34,9,22,0.409,0,3,.000,8,10,.800,1,3,4,6,0,1,5,0,26,14.9,-10
57,58,2006-03-01,21,CLE,H,SAC,L (-7),1,44:40,7,21,0.333,1,4,.250,4,7,.571,1,6,7,12,1,2,5,1,19,13.8,-5
58,59,2006-03-02,21,CLE,@,CHI,W (+1),1,46:37,11,27,0.407,0,3,.000,11,13,.846,2,9,11,8,0,1,5,4,33,21.5,4
59,60,2006-03-05,21,CLE,H,CHI,W (+19),1,46:27,15,28,0.536,1,3,.333,6,6,1.000,0,9,9,7,2,0,3,3,37,28.8,23
60,61,2006-03-07,21,CLE,H,TOR,W (+7),1,43:44,5,17,0.294,2,6,.333,5,6,.833,1,11,12,8,1,0,2,2,17,14.5,14
61,62,2006-03-08,21,CLE,@,TOR,W (+1),1,44:17,13,24,0.542,1,3,.333,8,12,.667,1,5,6,6,1,0,0,2,35,28.4,-4
62,63,2006-03-10,21,CLE,@,ORL,L (-29),1,38:58,9,22,0.409,2,6,.333,5,6,.833,2,5,7,2,2,1,5,0,25,14.8,-18
63,64,2006-03-12,21,CLE,@,MIA,L (-6),1,45:17,11,27,0.407,1,6,.167,24,28,.857,2,5,7,4,0,1,5,2,47,31.5,-7
64,65,2006-03-14,21,CLE,@,DAL,L (-4),1,44:58,14,27,0.519,0,2,.000,8,8,1.000,1,11,12,5,0,2,4,1,36,27.2,-8
65,66,2006-03-17,21,CLE,H,POR,W (+15),1,44:10,9,23,0.391,1,6,.167,8,10,.800,2,7,9,5,6,0,1,2,27,24.9,14
66,67,2006-03-19,21,CLE,H,LAL,W (+1),1,46:52,10,24,0.417,3,4,.750,6,10,.600,1,7,8,7,1,0,7,3,29,15.1,0
67,68,2006-03-22,21,CLE,H,CHA,W (+2),1,50:11,10,21,0.476,1,5,.200,16,23,.696,0,11,11,12,0,1,5,4,37,29.3,5
68,69,2006-03-24,21,CLE,H,BOS,W (+12),1,44:51,13,26,0.5,4,8,.500,6,8,.750,3,4,7,8,2,3,0,2,36,34.4,8
69,70,2006-03-26,21,CLE,@,HOU,W (+2),1,48:56,14,34,0.412,0,4,.000,8,11,.727,3,3,6,5,2,0,2,2,36,22.3,4
70,71,2006-03-29,21,CLE,H,DAL,W (+13),1,43:26,16,23,0.696,4,7,.571,10,13,.769,0,5,5,4,3,0,2,3,46,39.2,16
71,72,2006-04-01,21,CLE,H,MIA,W (+7),1,45:29,16,25,0.64,2,6,.333,13,14,.929,4,8,12,9,2,0,4,3,47,43.8,13
72,73,2006-04-02,21,CLE,@,CHA,W (+4),1,41:17,13,24,0.542,2,5,.400,7,9,.778,1,11,12,8,1,2,3,5,35,29.6,2
73,74,2006-04-04,21,CLE,H,PHI,W (+33),1,34:40,13,22,0.591,4,10,.400,7,9,.778,1,3,4,7,4,0,3,4,37,31.9,15
74,75,2006-04-05,21,CLE,@,NYK,L (-2),1,44:48,12,24,0.5,4,7,.571,8,14,.571,0,2,2,7,3,0,5,3,36,23.9,-2
75,76,2006-04-08,21,CLE,@,NJN,W (+6),1,44:09,12,26,0.462,0,3,.000,13,16,.813,1,4,5,7,1,0,6,5,37,22.2,5
76,77,2006-04-10,21,CLE,@,NOK,W (+2),1,42:07,12,24,0.5,0,3,.000,8,12,.667,1,3,4,6,0,0,2,1,32,21.8,3
77,78,2006-04-12,21,CLE,@,DET,L (-23),1,31:21,8,18,0.444,0,3,.000,6,8,.750,0,3,3,1,0,0,2,0,22,11.4,-11
78,79,2006-04-16,21,CLE,@,WAS,L (-12),1,29:32,8,16,0.5,0,0,,1,2,.500,0,5,5,4,1,1,3,2,17,10.8,-17
0,1,2006-11-01,21,CLE,H,WAS,W (+3),1,40:38,11,24,0.458,2,4,.500,2,6,.333,3,7,10,5,0,2,5,2,26,15.3,3
1,2,2006-11-03,21,CLE,@,SAS,W (+7),1,41:53,14,26,0.538,1,2,.500,6,11,.545,1,9,10,4,1,1,2,3,35,25.1,6
2,3,2006-11-04,21,CLE,@,CHA,L (-4),1,38:06,3,13,0.231,1,3,.333,9,10,.900,4,5,9,7,0,1,2,0,16,15.6,-3
3,4,2006-11-07,21,CLE,H,ATL,L (-9),1,47:17,13,26,0.5,3,8,.375,5,11,.455,0,7,7,6,2,1,2,1,34,25.2,-3
4,5,2006-11-09,21,CLE,H,CHI,W (+19),1,37:50,6,13,0.462,0,1,.000,7,8,.875,0,4,4,12,3,2,3,0,19,22.9,26
5,6,2006-11-11,21,CLE,H,BOS,W (+1),1,43:32,9,17,0.529,1,4,.250,19,23,.826,1,7,8,5,3,0,2,4,38,33.8,6
6,7,2006-11-13,21,CLE,@,NYK,W (+6),1,41:20,10,19,0.526,3,4,.750,6,9,.667,0,4,4,6,2,1,3,2,29,22.8,10
7,8,2006-11-15,21,CLE,H,POR,W (+13),1,38:54,10,15,0.667,3,6,.500,9,11,.818,0,7,7,7,2,1,4,2,32,29.6,16
8,9,2006-11-17,21,CLE,H,MIN,W (+16),1,40:30,12,24,0.5,2,5,.400,11,14,.786,2,7,9,6,1,2,4,1,37,29.5,12
9,10,2006-11-18,21,CLE,@,WAS,L (-12),1,33:20,8,20,0.4,0,1,.000,4,5,.800,2,3,5,4,2,0,3,2,20,12.1,-22
10,11,2006-11-21,21,CLE,H,MEM,W (+3),1,41:59,7,21,0.333,1,5,.200,0,1,.000,0,1,1,9,3,1,3,1,15,9.6,3
11,12,2006-11-22,21,CLE,@,TOR,L (-8),1,39:55,11,24,0.458,2,7,.286,6,9,.667,0,10,10,8,4,0,2,1,30,26.6,-7
12,13,2006-11-24,21,CLE,@,IND,L (-10),1,42:26,6,14,0.429,2,2,1.000,16,20,.800,1,6,7,5,1,0,3,6,30,22.6,1
13,14,2006-11-25,21,CLE,H,PHI,W (+13),1,40:50,10,20,0.5,1,4,.250,4,7,.571,0,4,4,11,0,1,7,4,25,14.8,2
14,15,2006-11-29,21,CLE,H,NYK,L (-3),1,41:11,10,22,0.455,0,5,.000,7,11,.636,1,6,7,6,0,1,5,1,27,16.0,-4
15,16,2006-12-01,21,CLE,@,ATL,W (+11),1,42:55,12,23,0.522,1,3,.333,6,10,.600,2,5,7,8,3,2,4,4,31,25.4,8
16,17,2006-12-02,21,CLE,@,HOU,L (-18),1,35:44,7,22,0.318,2,6,.333,5,7,.714,1,4,5,4,0,0,3,2,21,8.5,-13
17,18,2006-12-06,21,CLE,H,TOR,W (+4),1,40:30,11,18,0.611,1,2,.500,3,5,.600,1,5,6,10,1,0,4,1,26,22.8,2
18,19,2006-12-09,21,CLE,H,IND,W (+32),1,31:52,11,16,0.688,1,3,.333,4,6,.667,0,7,7,6,1,1,3,0,27,24.4,28
19,20,2006-12-11,21,CLE,@,NOK,L (-6),1,41:36,7,18,0.389,0,3,.000,1,1,1.000,3,4,7,6,4,0,3,1,15,13.3,-4
20,21,2006-12-13,21,CLE,H,CHA,W (+3),1,41:37,6,17,0.353,0,2,.000,10,11,.909,1,7,8,7,1,1,6,1,22,15.1,3
21,22,2006-12-15,21,CLE,H,SEA,W (+22),1,33:37,9,14,0.643,2,3,.667,2,3,.667,0,9,9,7,1,0,4,3,22,18.8,22
22,23,2006-12-16,21,CLE,@,ORL,L (-7),1,41:03,10,19,0.526,2,5,.400,7,9,.778,1,4,5,5,0,1,4,4,29,19.4,-7
23,24,2006-12-20,21,CLE,@,NJN,L (-2),1,40:11,10,22,0.455,1,3,.333,16,21,.762,0,1,1,8,2,1,3,4,37,27.6,8
24,25,2006-12-21,21,CLE,H,DET,L (-16),1,43:00,9,20,0.45,0,1,.000,8,8,1.000,2,8,10,5,2,0,1,1,26,23.5,-20
25,26,2006-12-23,21,CLE,H,ORL,W (+3),1,42:54,13,21,0.619,2,3,.667,4,10,.400,0,7,7,1,0,0,7,1,32,15.5,3
26,27,2006-12-27,21,CLE,@,ATL,W (+13),1,39:31,10,25,0.4,1,2,.500,6,8,.750,1,8,9,3,1,2,1,1,27,18.9,23
27,28,2006-12-29,21,CLE,H,MIL,W (+10),1,44:01,11,21,0.524,2,6,.333,8,13,.615,1,3,4,5,1,1,3,5,32,21.5,11
28,29,2006-12-30,22,CLE,@,CHI,L (-7),1,40:19,15,26,0.577,3,4,.750,0,3,.000,2,7,9,3,1,0,5,4,33,19.6,6
29,30,2007-01-02,22,CLE,H,SAS,W (+4),1,40:14,7,17,0.412,0,1,.000,5,11,.455,0,5,5,5,2,0,3,1,19,11.1,6
30,31,2007-01-03,22,CLE,@,BOS,W (+3),1,44:47,11,20,0.55,2,3,.667,8,10,.800,1,5,6,4,3,1,3,0,32,27.3,3
31,32,2007-01-05,22,CLE,@,MIL,W (+9),1,42:50,3,13,0.231,0,4,.000,2,2,1.000,0,5,5,9,1,0,2,1,8,6.5,9
32,33,2007-01-06,22,CLE,H,NJN,W (+5),1,44:00,9,21,0.429,1,3,.333,0,0,,0,13,13,4,3,3,5,4,19,13.1,4
33,34,2007-01-09,22,CLE,@,SAC,W (+10),1,43:25,14,26,0.538,3,7,.429,3,3,1.000,1,3,4,7,2,1,3,3,34,26.4,13
34,35,2007-01-11,22,CLE,@,PHO,L (-19),1,38:49,15,28,0.536,3,9,.333,1,2,.500,2,4,6,6,1,0,5,2,34,22.0,-20
35,36,2007-01-13,22,CLE,@,LAC,W (+12),1,42:02,10,23,0.435,0,1,.000,8,8,1.000,1,5,6,6,1,0,2,4,28,19.7,14
36,37,2007-01-16,22,CLE,@,SEA,L (-5),1,43:34,8,21,0.381,1,7,.143,13,15,.867,1,6,7,8,2,1,4,0,30,24.5,-7
37,38,2007-01-17,22,CLE,@,POR,L (-18),1,35:07,8,21,0.381,1,4,.250,6,13,.462,3,3,6,2,1,0,4,0,23,10.1,-24
38,39,2007-01-19,22,CLE,@,DEN,L (-11),1,43:52,9,23,0.391,0,1,.000,12,14,.857,2,8,10,10,2,0,3,2,30,25.7,-3
39,40,2007-01-20,22,CLE,@,GSW,W (+2),1,45:52,14,22,0.636,2,7,.286,2,5,.400,0,7,7,5,4,0,9,2,32,20.8,5
40,41,2007-01-22,22,CLE,H,ORL,L (-11),1,43:23,6,15,0.4,0,3,.000,6,13,.462,0,4,4,5,3,0,2,2,18,12.0,-2
41,42,2007-01-24,22,CLE,H,PHI,L (-3),1,53:10,14,26,0.538,3,8,.375,8,13,.615,2,8,10,5,1,0,4,2,39,27.9,-8
42,43,2007-01-28,22,CLE,H,PHO,L (-15),1,42:04,12,22,0.545,3,6,.500,3,6,.500,2,7,9,5,2,0,3,2,30,23.4,-8
43,44,2007-02-01,22,CLE,@,MIA,L (-3),1,35:35,6,18,0.333,2,7,.286,3,8,.375,1,5,6,9,1,0,2,4,17,10.7,-12
44,45,2007-02-02,22,CLE,H,CHA,W (+20),1,35:39,7,13,0.538,0,1,.000,4,8,.500,1,9,10,3,2,0,1,1,18,16.2,17
45,46,2007-02-04,22,CLE,H,DET,L (-12),1,43:17,9,22,0.409,1,4,.250,2,3,.667,0,5,5,6,2,0,3,2,21,12.7,-12
46,47,2007-02-07,22,CLE,H,LAC,W (+17),1,36:19,4,13,0.308,1,2,.500,2,2,1.000,0,7,7,3,1,1,2,1,11,7.0,15
47,48,2007-02-09,22,CLE,H,MIA,W (+24),1,41:08,12,22,0.545,1,4,.250,4,8,.500,1,6,7,6,0,0,2,1,29,21.1,22
48,49,2007-02-11,22,CLE,H,LAL,W (+9),1,38:21,5,16,0.313,0,2,.000,8,12,.667,1,7,8,5,1,1,1,3,18,13.0,3
49,50,2007-02-14,22,CLE,@,UTA,L (-1),1,42:39,9,25,0.36,0,3,.000,5,9,.556,3,7,10,4,1,3,0,2,23,16.8,10
50,51,2007-02-15,22,CLE,@,LAL,W (+6),1,39:48,10,16,0.625,0,1,.000,18,22,.818,0,4,4,3,3,0,3,4,38,30.9,4
51,52,2007-02-21,22,CLE,@,TOR,W (+1),1,36:49,12,25,0.48,0,1,.000,5,5,1.000,0,4,4,2,1,1,3,3,29,16.4,5
52,53,2007-02-22,22,CLE,H,CHI,L (-6),1,42:58,13,28,0.464,1,4,.250,2,8,.250,3,4,7,2,3,0,3,1,29,16.5,3
53,54,2007-02-25,22,CLE,@,MIA,L (-5),1,41:30,10,22,0.455,2,5,.400,7,12,.583,0,3,3,7,0,1,2,2,29,19.3,6
54,55,2007-02-27,22,CLE,H,NOK,W (+8),1,42:50,14,22,0.636,3,4,.750,4,7,.571,1,4,5,8,2,1,4,1,35,29.8,16
55,56,2007-03-01,22,CLE,@,DAL,L (-3),1,39:58,17,27,0.63,1,4,.250,4,8,.500,0,3,3,5,0,0,2,2,39,26.9,-2
56,57,2007-03-03,22,CLE,H,TOR,W (+23),1,37:22,10,20,0.5,1,3,.333,15,17,.882,2,3,5,6,0,3,2,1,36,31.4,23
57,58,2007-03-05,22,CLE,H,HOU,W (+6),1,41:38,12,24,0.5,3,6,.500,5,9,.556,1,11,12,8,0,0,3,2,32,24.2,-1
58,59,2007-03-07,22,CLE,@,DET,W (+4),1,50:40,17,31,0.548,1,3,.333,6,8,.750,2,5,7,8,3,1,4,4,41,31.9,8
59,60,2007-03-10,22,CLE,@,MIL,W (+2),1,36:30,12,22,0.545,4,6,.667,4,4,1.000,0,8,8,9,3,1,6,5,32,25.8,15
60,61,2007-03-11,22,CLE,H,IND,W (+11),1,38:42,10,22,0.455,2,6,.333,4,5,.800,3,4,7,6,3,1,2,2,26,22.6,23
61,62,2007-03-14,22,CLE,@,MEM,W (+22),1,29:35,11,17,0.647,4,7,.571,3,6,.500,1,5,6,4,3,0,2,0,29,26.3,35
62,63,2007-03-17,22,CLE,H,UTA,W (+9),1,43:40,8,21,0.381,0,6,.000,8,13,.615,2,15,17,9,2,2,4,3,24,20.9,7
63,64,2007-03-20,22,CLE,@,CHA,L (-8),1,46:33,12,31,0.387,2,9,.222,11,12,.917,2,4,6,6,1,3,3,4,37,25.0,-5
64,65,2007-03-21,22,CLE,H,DAL,L (-8),1,45:27,12,28,0.429,1,6,.167,6,7,.857,0,6,6,4,2,3,6,3,31,17.3,-6
65,66,2007-03-23,22,CLE,H,NYK,W (+22),1,38:16,8,16,0.5,0,1,.000,5,6,.833,1,2,3,10,2,0,1,1,21,21.5,19
66,67,2007-03-25,22,CLE,H,DEN,L (-12),1,40:49,8,19,0.421,1,6,.167,1,1,1.000,0,3,3,8,1,0,5,4,18,8.8,-13
67,68,2007-03-27,22,CLE,@,IND,W (+11),1,40:08,8,18,0.444,0,3,.000,10,14,.714,1,6,7,6,2,0,3,4,26,19.1,11
68,69,2007-03-28,22,CLE,@,NYK,L (-4),1,43:55,6,20,0.3,2,5,.400,10,14,.714,1,5,6,7,2,0,3,3,24,15.7,3
69,70,2007-03-31,22,CLE,@,CHI,W (+4),1,47:24,14,25,0.56,0,3,.000,11,13,.846,1,4,5,9,3,0,7,4,39,28.9,4
70,71,2007-04-03,22,CLE,@,MIN,W (+13),1,41:49,13,24,0.542,0,2,.000,5,5,1.000,2,10,12,6,4,1,2,1,31,30.3,21
71,72,2007-04-05,22,CLE,H,MIA,L (-4),1,48:36,11,21,0.524,2,5,.400,11,13,.846,2,7,9,5,0,0,4,4,35,25.3,3
72,73,2007-04-06,22,CLE,@,WAS,W (+5),1,44:25,7,23,0.304,0,3,.000,11,14,.786,0,6,6,5,1,1,2,3,25,14.3,5
73,74,2007-04-08,22,CLE,@,DET,L (-5),1,43:06,5,16,0.313,1,4,.250,9,11,.818,1,4,5,6,1,0,5,2,20,11.3,-11
74,75,2007-04-12,22,CLE,H,NJN,W (+18),1,35:15,15,27,0.556,0,1,.000,5,9,.556,3,5,8,4,2,1,2,1,35,27.2,21
75,76,2007-04-14,22,CLE,H,ATL,W (+34),1,31:57,8,16,0.5,3,6,.500,4,5,.800,1,4,5,6,1,1,0,1,23,22.0,25
76,77,2007-04-17,22,CLE,@,PHI,W (+6),1,36:03,7,15,0.467,0,2,.000,4,7,.571,1,4,5,6,0,0,1,3,18,13.0,-4
77,78,2007-04-18,22,CLE,H,MIL,W (+13),1,39:58,9,18,0.5,1,4,.250,5,10,.500,0,5,5,9,2,0,2,2,24,20.0,22
0,1,2007-10-31,22,CLE,H,DAL,L (-18),1,36:09,2,11,0.182,0,2,.000,6,10,.600,1,4,5,4,1,0,5,4,10,0.6,-12
1,2,2007-11-02,22,CLE,H,NYK,W (+4),1,44:25,13,28,0.464,3,5,.600,16,22,.727,3,4,7,7,3,1,3,1,45,36.7,4
2,3,2007-11-04,22,CLE,@,PHO,L (-11),1,43:13,11,26,0.423,3,5,.600,2,2,1.000,1,4,5,8,2,4,3,0,27,22.5,-18
3,4,2007-11-06,22,CLE,@,GSW,W (+4),1,41:51,9,16,0.563,1,2,.500,5,7,.714,1,12,13,9,0,3,2,1,24,25.9,4
4,5,2007-11-07,22,CLE,@,UTA,L (-2),1,40:45,12,27,0.444,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,27.9,4
5,6,2007-11-09,22,CLE,@,SAC,W (+2),1,43:51,10,19,0.526,0,2,.000,6,8,.750,0,4,4,4,1,1,1,1,26,20.2,-1
6,7,2007-11-11,22,CLE,@,LAC,W (+8),1,35:55,9,21,0.429,0,2,.000,4,8,.500,1,4,5,8,6,1,5,3,22,17.3,11
7,8,2007-11-12,22,CLE,@,DEN,L (-22),1,33:47,9,16,0.563,1,3,.333,8,14,.571,0,1,1,4,2,0,4,3,27,16.9,-13
8,9,2007-11-14,22,CLE,H,ORL,L (-1),1,47:14,15,27,0.556,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,37.6,2
9,10,2007-11-16,22,CLE,H,UTA,W (+5),1,40:16,13,27,0.481,1,3,.333,13,15,.867,2,8,10,9,0,3,5,3,40,31.5,13
10,11,2007-11-20,22,CLE,H,MIL,L (-4),1,44:06,11,22,0.5,1,7,.143,11,12,.917,0,7,7,7,1,1,3,4,34,26.7,-2
11,12,2007-11-21,22,CLE,@,MIN,W (+11),1,39:03,17,26,0.654,6,10,.600,5,8,.625,2,6,8,5,3,2,3,2,45,39.7,14
12,13,2007-11-24,22,CLE,H,TOR,W (+3),1,44:41,14,29,0.483,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,33.6,7
13,14,2007-11-25,22,CLE,@,IND,W (+5),1,35:47,10,21,0.476,1,6,.167,9,15,.600,3,8,11,10,4,1,2,1,30,30.7,9
14,15,2007-11-27,22,CLE,H,BOS,W (+5),1,45:46,11,25,0.44,2,8,.250,14,15,.933,0,4,4,13,2,2,3,2,38,34.4,14
15,16,2007-11-28,22,CLE,@,DET,L (-35),1,19:31,5,11,0.455,0,2,.000,5,9,.556,0,1,1,3,0,0,0,1,15,9.7,-2
16,17,2007-12-11,22,CLE,H,IND,W (+13),0,22:37,5,9,0.556,0,1,.000,7,10,.700,1,2,3,5,1,1,4,2,17,13.2,27
17,18,2007-12-14,22,CLE,@,NJN,L (-8),1,41:09,12,25,0.48,3,9,.333,2,3,.667,0,6,6,8,2,0,6,3,29,18.1,6
18,19,2007-12-15,22,CLE,H,PHI,L (-6),1,41:46,10,18,0.556,0,1,.000,1,1,1.000,0,6,6,6,0,1,3,1,21,15.7,5
19,20,2007-12-17,22,CLE,H,MIL,W (+5),1,50:13,10,25,0.4,0,5,.000,11,13,.846,1,7,8,5,1,0,2,3,31,20.8,6
20,21,2007-12-19,22,CLE,@,NYK,L (-18),1,36:52,12,21,0.571,3,6,.500,5,6,.833,1,7,8,6,6,0,4,1,32,30.3,-9
21,22,2007-12-20,22,CLE,H,LAL,W (+4),1,38:28,12,29,0.414,0,3,.000,9,11,.818,4,6,10,5,1,1,3,3,33,22.3,-7
